sample,label,n_windows_before,n_windows_after,mal_windows_before,mal_windows_after,flipped_1_to_0
29049,1,288,288,26,26,0
29053,0,1250,1250,6,6,0
29054,0,196,196,22,22,0
29092,0,175,175,4,4,0
29094,0,196,196,22,22,0
29145,0,285,285,45,45,0
29261,1,225,225,45,45,0
29375,0,196,196,22,22,0
29417,1,1124,1124,721,721,0
29426,1,1250,1250,0,0,0
29480,1,227,227,57,57,0
29640,0,196,196,22,22,0
29641,0,196,196,22,22,0
29645,0,196,196,22,22,0
29669,1,114,114,21,21,0
29698,0,181,181,4,4,0
29715,1,327,327,45,45,0
29716,0,196,196,22,22,0
29739,1,50,50,40,40,0
29759,1,525,525,256,256,0
29784,1,50,50,47,47,0
29788,1,46,46,36,36,0
29819,1,277,277,22,22,0
30008,0,203,203,24,24,0
30011,1,226,226,48,48,0
30025,1,226,226,48,48,0
30036,1,321,321,65,65,0
30059,0,183,183,22,22,0
30084,0,101,101,9,9,0
30103,1,283,283,27,27,0
30140,0,196,196,22,22,0
30159,0,287,287,25,25,0
30162,1,340,340,38,38,0
30234,1,1250,1250,106,106,0
30244,0,196,196,22,22,0
30285,0,117,117,114,114,0
30287,1,93,93,0,0,0
30289,0,196,196,22,22,0
30360,1,306,306,48,48,0
30366,1,276,276,31,31,0
30372,1,332,332,81,81,0
30381,0,272,272,23,23,0
30458,0,1,1,0,0,0
30460,1,103,103,6,6,0
30508,1,288,288,25,25,0
30523,1,141,141,42,42,0
30538,0,196,196,22,22,0
30549,1,526,526,196,196,0
30652,1,137,137,36,36,0
30679,0,196,196,22,22,0
30715,1,8,8,5,5,0
30724,1,1250,1250,1126,1126,0
30739,1,290,290,30,30,0
30750,0,196,196,22,22,0
30764,0,196,196,22,22,0
30891,0,196,196,22,22,0
30898,1,93,93,0,0,0
30940,1,288,288,25,25,0
31007,0,748,748,417,417,0
31031,0,196,196,22,22,0
31066,0,196,196,22,22,0
31067,0,196,196,22,22,0
31075,0,6,6,2,2,0
31095,0,196,196,22,22,0
31098,1,502,502,12,12,0
31112,0,24,24,22,22,0
31128,1,319,319,122,122,0
31142,0,93,93,0,0,0
31182,1,1250,1250,719,719,0
31232,1,180,180,10,10,0
31267,0,288,288,25,25,0
31280,0,280,280,90,90,0
31289,1,1217,1217,123,123,0
31304,1,695,695,468,468,0
31307,1,176,176,0,0,0
31328,1,190,190,22,22,0
31350,0,301,301,43,43,0
31352,1,288,288,25,25,0
31373,1,175,175,24,24,0
31404,0,196,196,22,22,0
31442,1,765,765,434,434,0
31457,1,182,182,24,24,0
31533,0,114,114,24,24,0
31575,1,261,261,19,19,0
31608,1,260,260,19,19,0
31634,0,196,196,22,22,0
31669,1,201,201,23,23,0
31692,0,198,198,21,21,0
31698,0,297,297,20,20,0
31704,1,225,225,40,40,0
31706,0,172,172,21,21,0
31715,1,186,186,27,27,0
31723,0,182,182,6,6,0
31736,0,6,6,2,2,0
31738,0,1,1,0,0,0
31739,1,220,220,50,50,0
31900,0,184,184,110,110,0
31904,0,202,202,39,39,0
31910,1,383,383,97,97,0
31911,1,278,278,24,24,0
31933,0,196,196,22,22,0
31941,1,175,175,23,23,0
31957,1,46,46,43,43,0
31992,0,181,181,7,7,0
31993,0,1,1,0,0,0
32001,0,196,196,22,22,0
32066,1,329,329,45,45,0
32068,1,94,94,2,2,0
32090,0,196,196,22,22,0
32133,1,226,226,48,48,0
32153,0,196,196,22,22,0
32186,1,693,693,382,382,0
32201,1,407,407,199,199,0
32204,0,196,196,22,22,0
32208,0,196,196,22,22,0
32248,0,196,196,22,22,0
32263,0,196,196,22,22,0
32285,1,328,328,45,45,0
32297,0,175,175,25,25,0
32321,0,201,201,26,26,0
32344,1,640,640,432,432,0
32363,1,98,98,7,7,0
32397,1,137,137,43,43,0
32501,1,366,366,138,138,0
32504,1,1250,1250,23,23,0
32505,1,226,226,48,48,0
32512,0,196,196,22,22,0
32561,0,196,196,22,22,0
32630,1,321,321,64,64,0
32640,1,1250,1250,1002,1002,0
32759,1,44,44,34,34,0
32776,1,269,269,22,22,0
32794,1,355,355,82,82,0
32800,1,524,524,194,194,0
32858,0,361,361,97,97,0
32862,0,196,196,22,22,0
32903,1,329,329,45,45,0
32911,1,365,365,118,118,0
32916,0,201,201,28,28,0
32920,0,301,301,42,42,0
32952,0,32,32,27,27,0
33005,1,141,141,42,42,0
33016,1,8,8,5,5,0
33062,1,92,92,0,0,0
33124,0,196,196,22,22,0
33160,0,196,196,22,22,0
33177,0,196,196,22,22,0
33293,1,50,50,40,39,1
33315,0,196,196,22,22,0
33317,1,1250,1250,391,391,0
33391,1,289,289,27,27,0
33398,1,226,226,48,48,0
33413,1,180,180,7,7,0
33459,0,196,196,22,22,0
33504,1,141,141,49,49,0
33519,0,97,97,4,4,0
33528,0,196,196,22,22,0
33573,0,196,196,22,22,0
33580,0,92,92,0,0,0
33633,0,196,196,22,22,0
33671,0,196,196,22,22,0
33707,0,196,196,22,22,0
33794,0,196,196,22,22,0
33816,0,93,93,0,0,0
33843,0,196,196,22,22,0
33859,1,137,137,44,44,0
33892,0,255,255,18,18,0
33933,0,196,196,22,22,0
33957,0,276,276,21,21,0
33977,1,229,229,49,49,0
34019,1,312,312,61,61,0
34025,1,274,274,19,19,0
34051,0,196,196,22,22,0
34092,1,510,510,242,242,0
34113,0,196,196,22,22,0
34144,0,196,196,22,22,0
34163,0,196,196,22,22,0
34241,0,196,196,22,22,0
34285,1,115,115,6,6,0
34295,0,259,259,24,24,0
34299,0,196,196,22,22,0
34303,1,280,280,26,26,0
34316,1,304,304,46,46,0
34336,0,196,196,22,22,0
34372,0,196,196,22,22,0
34394,0,196,196,22,22,0
34401,1,178,178,74,74,0
34410,1,894,894,480,480,0
34413,0,196,196,22,22,0
34414,0,196,196,22,22,0
34420,1,104,104,6,6,0
34428,0,1,1,0,0,0
34441,0,183,183,22,22,0
34454,1,439,439,135,136,0
34467,1,266,266,53,53,0
34528,0,196,196,22,22,0
34567,0,180,180,25,25,0
34573,1,226,226,48,48,0
34574,0,299,299,35,35,0
34612,0,92,92,0,0,0
34636,0,196,196,22,22,0
34685,0,196,196,22,22,0
34687,1,284,284,35,35,0
34757,1,288,288,25,25,0
34779,1,182,182,7,7,0
34782,1,636,636,428,428,0
34797,0,89,89,85,85,0
34814,0,97,97,5,5,0
34821,1,1188,1188,704,704,0
34863,1,333,333,81,81,0
34879,0,196,196,22,22,0
34904,1,661,661,375,375,0
34930,1,208,208,197,197,0
35081,0,1,1,0,0,0
35089,1,321,321,56,56,0
35092,0,6,6,2,2,0
35115,0,101,101,8,8,0
35127,1,879,879,412,412,0
35139,0,196,196,22,22,0
35148,1,483,483,420,420,0
35161,1,378,378,80,80,0
35172,1,8,8,4,4,0
35184,1,347,347,59,59,0
35190,1,177,177,6,6,0
35210,0,196,196,22,22,0
35234,1,190,190,16,16,0
35242,1,410,410,95,95,0
35243,0,196,196,22,22,0
35244,1,288,288,25,25,0
35268,0,174,174,22,22,0
35273,1,6,6,3,3,0
35282,0,103,103,12,12,0
35283,0,196,196,22,22,0
35314,0,196,196,22,22,0
35346,0,196,196,22,22,0
35366,0,121,121,30,30,0
35370,0,196,196,22,22,0
35379,0,92,92,0,0,0
35383,0,186,186,19,19,0
35422,1,126,126,34,34,0
35440,1,216,216,38,38,0
35449,0,6,6,2,2,0
35462,0,235,235,65,65,0
35487,0,196,196,22,22,0
35511,0,196,196,22,22,0
35529,1,307,307,49,49,0
35559,1,96,96,0,0,0
35563,0,196,196,22,22,0
35587,0,196,196,22,22,0
35591,1,1250,1250,1072,1072,0
35602,0,196,196,22,22,0
35626,1,288,288,25,25,0
35647,0,196,196,22,22,0
35673,1,1240,1240,955,955,0
35675,1,367,367,184,184,0
35705,0,287,287,25,25,0
35709,1,375,375,48,48,0
35742,0,196,196,22,22,0
35748,0,258,258,23,23,0
35758,0,196,196,22,22,0
35772,0,101,101,9,9,0
35788,0,301,301,42,42,0
35798,0,196,196,22,22,0
35799,1,226,226,48,48,0
35857,1,308,308,119,119,0
35865,0,101,101,9,9,0
35879,0,196,196,22,22,0
35940,0,196,196,22,22,0
35946,1,288,288,25,25,0
36007,0,260,260,25,25,0
36016,0,196,196,22,22,0
36036,0,172,172,21,21,0
36055,1,375,375,196,196,0
36060,0,196,196,22,22,0
36067,1,231,231,51,51,0
36096,1,145,145,49,49,0
36105,0,196,196,22,22,0
36132,1,348,348,69,69,0
36192,1,15,15,6,6,0
36207,0,196,196,22,22,0
36215,1,260,260,19,19,0
36248,1,309,309,38,38,0
36293,0,101,101,8,8,0
36297,0,196,196,22,22,0
36305,1,96,96,4,4,0
36400,0,196,196,22,22,0
36419,0,196,196,22,22,0
36453,1,307,307,58,58,0
36462,1,217,217,53,53,0
36484,1,260,260,19,19,0
36535,1,300,300,40,40,0
36548,0,196,196,22,22,0
36582,1,137,137,43,43,0
36657,1,288,288,25,25,0
36665,1,288,288,25,25,0
36678,0,285,285,24,24,0
36733,0,191,191,20,20,0
36752,0,196,196,22,22,0
36753,0,196,196,22,22,0
36765,0,91,91,0,0,0
36774,1,289,289,87,87,0
36797,0,93,93,0,0,0
36852,0,327,327,56,56,0
36901,1,1250,1250,1002,1002,0
36934,0,196,196,22,22,0
36940,0,196,196,22,22,0
36945,0,196,196,22,22,0
36971,1,96,96,6,6,0
37024,1,286,286,23,23,0
37030,0,1250,1250,6,6,0
37121,0,196,196,22,22,0
37136,1,290,290,106,106,0
37186,0,196,196,22,22,0
37214,0,196,196,22,22,0
37236,1,320,320,62,62,0
37242,1,225,225,46,46,0
37256,1,141,141,49,49,0
37303,1,260,260,19,19,0
37325,0,196,196,22,22,0
37345,0,196,196,22,22,0
37379,0,196,196,22,22,0
37400,1,176,176,0,0,0
37401,1,305,305,46,46,0
37408,1,399,399,91,91,0
37470,1,242,242,75,75,0
37481,0,88,88,85,85,0
37544,1,264,264,93,93,0
37547,1,508,508,239,239,0
37561,0,302,302,43,43,0
37562,1,274,274,90,90,0
37588,1,94,94,3,3,0
37605,1,226,226,46,46,0
37616,0,182,182,7,7,0
37645,0,5,5,3,3,0
37666,1,1156,1156,873,873,0
37689,1,232,232,63,63,0
37705,1,181,181,8,8,0
37717,1,177,177,3,3,0
37732,1,109,109,12,12,0
37791,0,1,1,0,0,0
37816,0,196,196,22,22,0
37850,0,196,196,22,22,0
37875,1,226,226,48,48,0
37881,0,196,196,22,22,0
37977,1,101,101,10,10,0
37983,0,196,196,22,22,0
37990,0,193,193,24,24,0
37993,1,118,118,8,8,0
38039,0,265,265,21,21,0
38099,1,314,314,58,58,0
38102,0,196,196,22,22,0
38117,1,563,563,236,236,0
38156,1,287,287,28,28,0
38168,0,196,196,22,22,0
38170,0,196,196,22,22,0
38180,0,713,713,392,392,0
38193,1,226,226,48,48,0
38216,1,271,271,24,24,0
38222,0,196,196,22,22,0
38234,1,189,189,22,22,0
38253,0,196,196,22,22,0
38279,0,9,9,5,5,0
38290,1,304,304,60,60,0
38345,0,32,32,27,27,0
38375,1,288,288,25,25,0
38430,1,1167,1167,696,696,0
38449,0,196,196,22,22,0
38453,0,196,196,22,22,0
38469,0,191,191,28,28,0
38512,0,196,196,22,22,0
38573,1,1250,1250,1158,1158,0
38582,0,1025,1025,848,848,0
38598,0,196,196,22,22,0
38600,0,196,196,22,22,0
38643,0,300,300,35,35,0
38649,1,1215,1215,804,804,0
38654,0,97,97,5,5,0
38719,0,170,170,0,0,0
38786,1,303,303,60,60,0
38801,0,196,196,22,22,0
38821,0,196,196,22,22,0
38829,0,287,287,25,25,0
38844,1,226,226,48,48,0
38862,0,196,196,22,22,0
38866,0,636,636,634,634,0
38910,1,141,141,42,42,0
38933,0,1,1,0,0,0
38961,1,1250,1250,1002,1001,1
38962,1,121,121,29,29,0
39008,0,196,196,22,22,0
39046,0,196,196,22,22,0
39050,1,306,306,61,61,0
39059,0,196,196,22,22,0
39081,0,196,196,22,22,0
39102,0,138,138,43,43,0
39144,0,196,196,22,22,0
39154,1,226,226,48,48,0
39183,1,262,262,21,21,0
39205,1,287,287,23,23,0
39207,0,93,93,0,0,0
39212,0,196,196,22,22,0
39217,1,240,240,75,75,0
39264,1,202,202,27,27,0
39313,1,276,276,24,24,0
39354,0,196,196,22,22,0
39362,1,1071,1071,620,620,0
39406,0,183,183,22,22,0
39413,0,281,281,21,21,0
39440,1,539,539,326,326,0
39453,1,95,95,0,0,0
39467,0,196,196,22,22,0
39468,1,187,187,27,27,0
39496,0,5,5,2,2,0
39510,1,313,313,62,62,0
39515,0,6,6,2,2,0
39565,1,698,698,223,223,0
39575,1,668,668,376,376,0
39619,0,196,196,22,22,0
39636,1,20,20,9,9,0
39652,1,288,288,25,24,1
39657,0,196,196,22,22,0
39671,0,182,182,21,21,0
39687,0,196,196,22,22,0
39710,1,990,990,546,546,0
39719,0,196,196,22,22,0
39800,0,196,196,22,22,0
39870,1,500,500,234,234,0
39899,0,196,196,22,22,0
39970,0,196,196,22,22,0
40084,1,185,185,19,19,0
40114,0,196,196,22,22,0
40168,0,196,196,22,22,0
40191,0,196,196,22,22,0
40204,1,1250,1250,0,0,0
40274,0,203,203,30,30,0
40356,0,196,196,22,22,0
40377,0,196,196,22,22,0
40397,0,268,268,26,26,0
40521,0,196,196,22,22,0
40525,0,16,16,9,9,0
40542,1,294,294,78,78,0
40544,0,91,91,0,0,0
40550,0,196,196,22,22,0
40554,1,353,353,77,77,0
40570,1,1250,1250,804,804,0
40585,1,94,94,1,1,0
40617,1,191,191,19,19,0
40627,0,183,183,23,23,0
40654,1,137,137,46,46,0
40671,1,288,288,25,25,0
40677,0,196,196,22,22,0
40725,0,196,196,22,22,0
40790,1,178,178,26,26,0
40820,1,206,206,28,28,0
40870,1,93,93,0,0,0
40877,1,371,371,95,95,0
40889,0,280,280,90,90,0
40920,0,1,1,0,0,0
40932,0,196,196,22,22,0
40949,0,196,196,22,22,0
40963,0,196,196,22,22,0
40976,0,196,196,22,22,0
41018,0,232,232,49,49,0
41045,1,288,288,25,25,0
41073,1,225,225,47,47,0
41075,0,101,101,9,9,0
41113,1,356,356,125,125,0
41184,0,196,196,22,22,0
41226,1,321,321,66,66,0
41272,0,196,196,23,23,0
41295,1,324,324,53,53,0
41337,0,6,6,2,2,0
41367,1,1250,1250,1126,1126,0
41403,0,196,196,22,22,0
41416,1,46,46,43,43,0
41428,0,196,196,22,22,0
41467,1,290,290,22,22,0
41472,1,295,295,20,20,0
41501,0,95,95,4,4,0
41550,1,289,289,18,18,0
41553,0,311,311,28,28,0
41555,1,94,94,2,2,0
41573,0,196,196,22,22,0
41581,0,244,244,82,82,0
41661,1,4,4,0,0,0
41825,0,196,196,22,22,0
41838,0,196,196,22,22,0
41916,0,196,196,22,22,0
41920,0,559,559,341,341,0
41924,1,290,290,27,27,0
41953,0,196,196,22,22,0
41955,0,196,196,22,22,0
41958,1,179,179,15,15,0
41964,0,196,196,22,22,0
42045,0,196,196,22,22,0
42092,0,316,316,62,62,0
42107,0,142,142,49,49,0
42134,1,226,226,47,47,0
42138,0,99,99,8,8,0
42205,0,1,1,0,0,0
42234,0,196,196,22,22,0
42291,1,6,6,2,2,0
42323,0,196,196,22,22,0
42335,0,182,182,6,6,0
42350,1,1250,1250,780,780,0
42355,1,218,218,31,31,0
42362,0,196,196,22,22,0
42432,0,301,301,59,59,0
42458,0,196,196,22,22,0
42461,1,285,285,104,104,0
42491,0,196,196,22,22,0
42528,0,196,196,22,22,0
42544,1,246,246,6,6,0
42567,1,136,136,35,35,0
42621,1,668,668,138,138,0
42643,0,101,101,9,9,0
42644,0,196,196,22,22,0
42656,1,288,288,25,25,0
42708,1,304,304,59,59,0
42726,0,196,196,22,22,0
42727,0,196,196,22,22,0
42747,0,196,196,22,22,0
42767,0,97,97,5,5,0
42772,0,302,302,42,42,0
42775,0,196,196,22,22,0
42794,0,196,196,22,22,0
42806,0,1070,1070,894,894,0
42855,0,196,196,22,22,0
42915,1,217,217,36,36,0
42969,0,288,288,25,25,0
42974,0,32,32,27,27,0
42980,1,193,193,29,29,0
42989,1,96,96,4,4,0
43020,0,181,181,8,8,0
43117,1,309,309,45,45,0
43123,0,178,178,22,22,0
43160,0,196,196,22,22,0
43182,1,328,328,47,47,0
43184,1,226,226,47,47,0
43187,1,183,183,24,24,0
43215,0,196,196,22,22,0
43235,0,173,173,22,22,0
43290,0,196,196,22,22,0
43292,0,302,302,48,48,0
43293,0,196,196,22,22,0
43315,0,265,265,25,25,0
43317,1,975,975,559,559,0
43342,0,196,196,22,22,0
43381,1,1250,1250,216,216,0
43389,0,196,196,22,22,0
43393,0,196,196,22,22,0
43464,0,303,303,59,59,0
43482,0,99,99,7,7,0
43508,0,107,107,6,6,0
43512,0,196,196,22,22,0
43587,0,196,196,22,22,0
43609,1,288,288,25,25,0
43643,0,6,6,2,2,0
43664,0,196,196,22,22,0
43669,1,338,338,98,98,0
43699,0,287,287,25,25,0
43738,1,5,5,1,1,0
43741,0,93,93,0,0,0
43745,1,285,285,26,26,0
43771,0,450,450,167,167,0
43816,0,182,182,23,23,0
43836,1,392,392,64,64,0
43857,1,1221,1221,721,721,0
43871,1,188,188,10,10,0
43912,1,99,99,7,7,0
43985,0,196,196,22,22,0
44004,1,288,288,25,25,0
44037,1,4,4,1,1,0
44039,0,296,296,27,27,0
44047,0,246,246,29,29,0
44059,0,299,299,41,41,0
44078,0,196,196,22,22,0
44117,0,196,196,22,22,0
44121,1,270,270,29,29,0
44125,1,226,226,48,48,0
44197,0,124,124,32,32,0
44204,1,458,458,200,200,0
44215,0,196,196,22,22,0
44224,0,196,196,22,22,0
44291,1,220,220,42,42,0
44311,0,196,196,22,22,0
44324,0,196,196,22,22,0
44348,0,196,196,22,22,0
44397,1,226,226,48,48,0
44418,1,372,372,105,105,0
44423,0,437,437,241,241,0
44550,0,196,196,22,22,0
44646,0,454,454,174,174,0
44692,0,196,196,22,22,0
44750,1,1250,1250,1002,1002,0
44761,0,642,642,406,406,0
44762,0,196,196,22,22,0
44786,0,196,196,22,22,0
44803,0,196,196,22,22,0
44837,1,226,226,48,48,0
44894,0,95,95,4,4,0
44942,0,196,196,22,22,0
44946,1,243,243,78,78,0
44955,1,918,918,455,455,0
44969,1,314,314,59,59,0
44972,0,23,23,18,18,0
44988,0,196,196,22,22,0
44998,0,1059,1059,884,884,0
45024,1,378,378,114,114,0
45036,0,196,196,22,22,0
45062,1,320,320,64,64,0
45063,1,1250,1250,1001,1001,0
45068,0,337,337,88,88,0
45069,0,196,196,22,22,0
45078,0,93,93,0,0,0
45084,0,196,196,22,22,0
45117,0,288,288,25,25,0
45138,0,196,196,22,22,0
45174,0,193,193,22,22,0
45182,0,196,196,22,22,0
45218,0,196,196,22,22,0
45242,1,304,304,60,60,0
45262,1,315,315,58,58,0
45334,0,91,91,0,0,0
45353,1,4,4,0,0,0
45362,1,192,192,16,16,0
45388,1,227,227,47,47,0
45414,0,196,196,22,22,0
45455,0,183,183,22,22,0
45457,1,337,337,41,41,0
45506,0,196,196,22,22,0
45507,1,578,578,301,301,0
45559,1,1250,1250,1160,1160,0
45584,0,196,196,22,22,0
45597,1,282,282,25,25,0
45608,0,304,304,63,63,0
45635,1,220,220,39,39,0
45641,1,256,256,4,4,0
45671,1,512,512,234,234,0
45681,0,196,196,22,22,0
45685,1,1250,1250,1002,1001,1
45693,1,198,198,8,8,0
45718,1,288,288,25,25,0
45778,0,192,192,21,21,0
45780,1,302,302,50,50,0
45792,1,1175,1175,700,700,0
45794,1,288,288,25,25,0
45810,1,1250,1250,0,0,0
45822,1,46,46,36,36,0
45844,0,196,196,22,22,0
45852,0,196,196,22,22,0
45893,0,196,196,22,22,0
45924,0,297,297,43,43,0
45949,1,510,510,232,232,0
45965,1,344,344,90,90,0
45973,0,292,292,28,28,0
46006,0,91,91,0,0,0
46011,0,196,196,22,22,0
46023,1,317,317,60,60,0
46026,1,141,141,49,49,0
46097,1,611,611,393,393,0
46170,0,32,32,27,27,0
46182,1,506,506,231,231,0
46205,0,196,196,22,22,0
46233,0,302,302,57,57,0
46252,1,93,93,0,0,0
46266,0,196,196,22,22,0
46272,0,196,196,23,23,0
46337,1,290,290,43,43,0
46357,0,290,290,24,24,0
46363,0,883,883,544,544,0
46495,0,196,196,22,22,0
46500,1,103,103,9,9,0
46525,0,94,94,4,4,0
46539,0,140,140,48,48,0
46570,1,771,771,261,261,0
46613,1,178,178,6,6,0
46659,1,259,259,19,19,0
46716,0,284,284,29,29,0
46720,0,196,196,22,22,0
46746,1,275,275,24,24,0
46761,0,196,196,22,22,0
46768,0,196,196,22,22,0
46801,0,196,196,22,22,0
46811,0,196,196,22,22,0
46816,1,1250,1250,727,727,0
46884,0,186,186,31,31,0
46919,0,96,96,4,4,0
46979,0,196,196,22,22,0
47088,0,196,196,22,22,0
47089,0,196,196,22,22,0
47090,1,328,328,43,43,0
47141,1,1250,1250,631,631,0
47181,1,1250,1250,915,915,0
47220,1,153,153,41,41,0
47234,0,126,126,35,35,0
47255,0,93,93,0,0,0
47277,1,12,12,8,8,0
47291,1,186,186,18,18,0
47375,1,177,177,6,6,0
47439,0,1,1,0,0,0
47440,1,194,194,22,22,0
47460,0,196,196,22,22,0
47473,0,196,196,22,22,0
47482,0,124,124,26,26,0
47500,1,98,98,7,7,0
47502,1,1250,1250,740,740,0
47527,0,196,196,22,22,0
47567,0,196,196,22,22,0
47576,1,300,300,52,52,0
47588,0,196,196,22,22,0
47589,0,196,196,22,22,0
47616,0,452,452,167,167,0
47674,0,196,196,22,22,0
47683,1,361,361,94,94,0
47708,1,811,811,481,481,0
47712,0,123,123,32,32,0
47717,1,232,232,54,54,0
47743,1,141,141,49,49,0
47785,0,196,196,22,22,0
47819,0,196,196,22,22,0
47860,0,196,196,22,22,0
47872,0,93,93,0,0,0
47893,0,32,32,27,27,0
47906,0,196,196,22,22,0
47916,0,192,192,21,21,0
47921,1,137,137,39,39,0
47939,0,6,6,2,2,0
47953,0,260,260,26,26,0
47970,0,196,196,22,22,0
47987,0,271,271,22,22,0
48065,1,284,284,24,24,0
48146,0,94,94,3,3,0
48187,0,196,196,22,22,0
48197,0,257,257,26,26,0
48198,1,401,401,118,118,0
48211,1,217,217,47,47,0
48227,0,196,196,22,22,0
48230,0,196,196,22,22,0
48236,1,1250,1250,733,733,0
48238,0,296,296,54,54,0
48264,1,333,333,76,76,0
48285,1,197,197,23,23,0
48352,1,318,318,50,50,0
48358,0,182,182,6,6,0
48393,0,6,6,4,4,0
48422,1,1250,1250,1002,1002,0
48442,0,196,196,22,22,0
48462,0,196,196,22,22,0
48473,0,181,181,109,109,0
48502,0,196,196,22,22,0
48509,0,196,196,22,22,0
48568,0,279,279,25,25,0
48646,0,339,339,85,85,0
48647,1,94,94,2,2,0
48648,0,196,196,22,22,0
48696,0,303,303,60,60,0
48853,1,249,249,72,72,0
48918,0,196,196,22,22,0
48962,1,288,288,25,25,0
48987,1,226,226,48,48,0
48997,0,196,196,22,22,0
49023,0,196,196,22,22,0
49044,1,290,290,27,27,0
49056,0,171,171,0,0,0
49060,0,196,196,22,22,0
49130,1,94,94,2,2,0
49137,0,196,196,22,22,0
49142,1,353,353,86,86,0
49146,0,196,196,22,22,0
49204,0,301,301,40,40,0
49205,0,503,503,196,196,0
49212,0,196,196,22,22,0
49220,0,196,196,22,22,0
49258,0,196,196,22,22,0
49327,1,289,289,25,25,0
49332,0,196,196,22,22,0
49387,0,196,196,22,22,0
49415,0,196,196,22,22,0
49519,1,508,508,238,238,0
49525,1,248,248,68,68,0
49533,1,800,800,41,40,1
49535,0,196,196,22,22,0
49536,0,196,196,22,22,0
49555,1,304,304,60,60,0
49557,1,357,357,77,77,0
49579,1,1250,1250,848,848,0
49626,0,322,322,63,63,0
49632,0,196,196,22,22,0
49666,1,374,374,85,85,0
49769,1,311,311,51,51,0
49839,1,313,313,58,58,0
49879,0,301,301,42,42,0
49902,0,196,196,22,22,0
49912,0,196,196,22,22,0
49955,0,444,444,162,162,0
49963,0,196,196,22,22,0
49968,1,17,17,9,9,0
50012,0,196,196,22,22,0
50013,0,196,196,22,22,0
50066,1,241,241,76,76,0
50076,0,91,91,0,0,0
50125,0,93,93,0,0,0
50143,0,196,196,22,22,0
50180,0,1,1,0,0,0
50183,1,326,326,99,99,0
50229,1,652,652,368,368,0
50243,0,302,302,42,42,0
50262,0,196,196,22,22,0
50316,1,93,93,0,0,0
50351,1,324,324,64,64,0
50387,0,196,196,22,22,0
50397,0,117,117,26,26,0
50398,0,196,196,22,22,0
50501,1,1250,1250,130,130,0
50541,1,283,283,27,27,0
50556,0,93,93,0,0,0
50581,0,196,196,22,22,0
50611,1,198,198,22,22,0
50700,1,94,94,2,2,0
50702,1,96,96,4,4,0
50713,1,310,310,32,31,1
50724,1,190,190,23,23,0
50730,0,196,196,22,22,0
50741,0,101,101,9,9,0
50769,0,662,662,442,442,0
50772,0,196,196,22,22,0
50816,1,704,704,410,410,0
50848,0,196,196,22,22,0
50854,1,327,327,55,55,0
50874,0,196,196,22,22,0
50881,1,1250,1250,1158,1158,0
50883,0,91,91,0,0,0
50893,1,94,94,2,2,0
50913,1,1208,1208,786,786,0
50946,1,333,333,94,94,0
50950,0,196,196,22,22,0
50962,1,1250,1250,1002,1002,0
50970,0,264,264,23,23,0
51101,1,288,288,25,25,0
51142,1,98,98,7,7,0
51145,0,196,196,22,22,0
51158,1,206,206,31,31,0
51172,1,1068,1068,835,835,0
51236,0,276,276,21,21,0
51294,0,196,196,22,22,0
51371,0,32,32,27,27,0
51458,1,372,372,194,194,0
51516,0,196,196,22,22,0
51541,0,101,101,9,9,0
51554,0,196,196,22,22,0
51566,0,6,6,2,2,0
51582,0,196,196,22,22,0
51608,0,196,196,22,22,0
51609,0,1,1,0,0,0
51614,0,196,196,22,22,0
51617,0,196,196,22,22,0
51630,1,238,238,54,55,0
51643,1,719,719,414,414,0
51669,1,288,288,25,25,0
51683,1,707,707,409,409,0
51694,1,225,225,44,44,0
51824,1,584,584,373,373,0
51900,1,315,315,45,45,0
51921,1,1250,1250,1002,1002,0
51968,1,205,205,24,24,0
51969,0,196,196,22,22,0
52090,1,217,217,50,50,0
52135,1,217,217,36,36,0
52147,0,255,255,18,18,0
52181,0,297,297,18,18,0
52198,0,200,200,37,37,0
52221,0,93,93,0,0,0
52233,0,196,196,22,22,0
52273,0,196,196,22,22,0
52287,0,196,196,22,22,0
52292,0,181,181,4,4,0
52311,1,293,293,81,81,0
52332,1,226,226,48,48,0
52352,1,267,267,54,54,0
52364,0,196,196,22,22,0
52409,1,308,308,48,48,0
52410,0,196,196,22,22,0
52474,1,291,291,26,26,0
52480,0,196,196,22,22,0
52522,1,691,691,404,404,0
52537,0,196,196,22,22,0
52567,1,163,163,40,40,0
52587,0,453,453,174,174,0
52611,1,130,130,126,126,0
52622,0,196,196,22,22,0
52628,0,196,196,22,22,0
52638,0,6,6,2,2,0
52731,1,96,96,0,0,0
52767,0,196,196,22,22,0
52791,0,237,237,66,66,0
52852,1,137,137,44,44,0
52870,0,5,5,3,3,0
52877,0,196,196,22,22,0
52884,0,196,196,22,22,0
52923,1,193,193,1,1,0
52924,1,186,186,18,18,0
52967,1,226,226,48,48,0
52986,1,527,527,355,355,0
53007,0,196,196,22,22,0
53014,1,226,226,48,48,0
53018,1,178,178,26,26,0
53034,1,403,403,90,90,0
53047,0,196,196,22,22,0
53054,0,196,196,22,22,0
53062,1,321,321,64,64,0
53065,0,196,196,22,22,0
53110,1,1250,1250,793,793,0
53126,1,306,306,59,59,0
53170,0,196,196,23,23,0
53224,1,46,46,36,36,0
53243,1,137,137,36,36,0
53284,1,226,226,48,48,0
53338,0,91,91,0,0,0
53388,1,227,227,47,47,0
53491,1,189,189,21,21,0
